#,initial amount,DigiKey,Ref,QR,unit,sub
Y2017M4-1,500,311-0.0ERCT-ND,RES 0.0 OHM 1-4W 5% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-0.0ERCT-ND,0,$2.39 
Y2017M4-2,50,311-0.1ANCT-ND,RES .10 OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-0.1ANCT-ND,0.17,$8.41 
Y2017M4-3,50,P.10AVCT-ND,RES SMD 0.1 OHM 5% 1W 1206,https://www.digikey.com/products/en?keywords=P.10AVCT-ND,0.34,$17.18 
Y2017M4-4,100,CSRN2010FKR250CT-ND,RES .25OHM 1W 1% 2010 SMD,https://www.digikey.com/products/en?keywords=CSRN2010FKR250CT-ND,0.3,$30.00 
Y2017M4-5,500,311-1.00FRCT-ND,RES 1.00 OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-1.00FRCT-ND,0.01,$3.19 
Y2017M4-6,500,311-4.99FRCT-ND,RES 4.99 OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-4.99FRCT-ND,0.01,$3.19 
Y2017M4-7,500,311-10.0FRCT-ND,RES 10.0 OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-10.0FRCT-ND,0.01,$3.19 
Y2017M4-8,500,311-49.9FRCT-ND,RES 49.9 OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-49.9FRCT-ND,0.01,$3.19 
Y2017M4-9,500,311-100FRCT-ND,RES 100 OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-100FRCT-ND,0.01,$3.19 
Y2017M4-10,500,311-499FRCT-ND,RES 499 OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-499FRCT-ND,0.01,$3.19 
Y2017M4-11,500,311-1.00KFRCT-ND,RES 1.00K OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-1.00KFRCT-ND,0.01,$3.19 
Y2017M4-12,500,311-4.99KFRCT-ND,RES 4.99K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-4.99KFRCT-ND,0.01,$3.19 
Y2017M4-13,500,311-10.0KFRCT-ND,RES 10.0K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-10.0KFRCT-ND,0.01,$3.19 
Y2017M4-14,500,311-49.9KFRCT-ND,RES 49.9K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-49.9KFRCT-ND,0.01,$3.19 
Y2017M4-15,500,311-100KFRCT-ND,RES 100K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-100KFRCT-ND,0.01,$3.19 
Y2017M4-16,500,311-499KFRCT-ND,RES 499K OHM 1-4W 1% 1206 SMD,https://www.digikey.com/products/en?keywords=311-499KFRCT-ND,0.01,$3.19 
Y2017M4-17,500,311-1.00MFRCT-ND,RES 1.00M OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-1.00MFRCT-ND,0.01,$3.19 
Y2017M4-18,500,311-4.99MFRCT-ND,RES 4.99M OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-4.99MFRCT-ND,0.01,$3.19 
Y2017M4-19,500,311-10.0MFRCT-ND,RES 10.0M OHM 1-4W 1% 1206 SMD-,https://www.digikey.com/products/en?keywords=311-10.0MFRCT-ND,0.01,$3.19 
Y2017M4-20,50,490-6999-1-ND,TRIMMER 10K OHM 0.05W SMD,https://www.digikey.com/products/en?keywords=490-6999-1-ND,0.19,$9.53 
Y2017M4-21,150,311-1212-1-ND,CAP CERAMIC 1PF 50V NP0 1206-$0.04200-,https://www.digikey.com/products/en?keywords=311-1212-1-ND,0.05,$6.98 
Y2017M4-22,150,311-1150-1-ND,CAP CERAMIC 10PF 50V NP0 1206-$0.03612-,https://www.digikey.com/products/en?keywords=311-1150-1-ND,0.04,$6.07 
Y2017M4-23,150,311-1161-1-ND,CAP CERAMIC 100PF 50V NP0 1206-$0.04200-,https://www.digikey.com/products/en?keywords=311-1161-1-ND,0.05,$7.06 
Y2017M4-24,150,311-1144-1-ND,CAP 1000PF 1KV CERAMIC X7R 1206-$0.15300-,https://www.digikey.com/products/en?keywords=311-1144-1-ND,0.15,$22.03 
Y2017M4-25,150,311-1174-1-ND,CAP 10000PF 50V CERAMIC X7R 1206 $0.03360-,https://www.digikey.com/products/en?keywords=311-1174-1-ND,0.04,$5.65 
Y2017M4-26,150,399-4674-1-ND,CAP CERAMIC .1UF 250V X7R 1206-,https://www.digikey.com/products/en?keywords=399-4674-1-ND,0.12,$17.33 
Y2017M4-27,150,445-1423-1-ND,CAP CER 1UF 50V X7R 10% 1206-,https://www.digikey.com/products/en?keywords=445-1423-1-ND,0.07,$10.20 
Y2017M4-28,80,587-1352-1-ND,CAP CER 10UF 35V Y5V 1206-,https://www.digikey.com/products/en?keywords=587-1352-1-ND,0.18,$14.72 
Y2017M4-29,10,283-2810-ND,CAP SUPER 1F 5.5V RADIAL,https://www.digikey.com/products/en?keywords=283-2810-ND,2.72,$27.23 
Y2017M4-30,10,PCD2144CT-ND,CHOKE COIL 1.2UH 6500MA SMD-,https://www.digikey.com/products/en?keywords=PCD2144CT-ND,1.99,$19.89 
Y2017M4-31,10,PCD2152CT-ND,CHOKE COIL 10UH 3900MA SMD-,https://www.digikey.com/products/en?keywords=PCD2152CT-ND,1.99,$19.89 
Y2017M4-32,10,PCD2164CT-ND,CHOKE COIL 100UH 1200MA SMD-,https://www.digikey.com/products/en?keywords=PCD2164CT-ND,1.99,$19.89 
Y2017M4-33,10,PCD2176CT-ND,CHOKE COIL 1000UH 410MA SMD-,https://www.digikey.com/products/en?keywords=PCD2176CT-ND,1.99,$19.89 
Y2017M4-34,100,497-5559-1-ND,DIODE SCHOTTKY 100V SGL SOD-123-,https://www.digikey.com/products/en?keywords=497-5559-1-ND,0.17,$16.83 
Y2017M4-35,100,641-1331-1-ND,DIODE SCHOTTKY 1A 100V MINI-SMA-,https://www.digikey.com/products/en?keywords=641-1331-1-ND,0.19,$19.24 
Y2017M4-36,150,BZT52C3V3-FDICT-ND,DIODE ZENER 500MW 3.3V SOD123-,https://www.digikey.com/products/en?keywords=BZT52C3V3-FDICT-ND,0.07,$9.79 
Y2017M4-37,150,BZT52C4V7-13-FDICT-ND,DIODE ZENER 4.7V 500MW SOD-123-,https://www.digikey.com/products/en?keywords=BZT52C4V7-13-FDICT-ND,0.07,$9.79 
